"","average_speed","distance","elapsed_time","total_elevation_gain","temp","hum","days"
"1",10.9332,9.3195,3154,81.2,66.9,43,415
"2",11.2932,5.5147,1764,13.5,82,53.1,412
"3",9.8208,7.4762,2928,39.2,55.9,42.1,394
"4",10.6848,9.1801,3093,43.2,61,48.9,388
"5",8.4096,3.289,1425,13.6,53.1,35.1,372
"6",10.1052,9.2117,3349,53.1,53.1,41,367
"7",10.7352,9.1641,3073,53.3,60.1,37.9,359.958333333333
"8",11.4048,5.7851,1957,15.6,50,12.9,346.958333333333
"9",10.6524,8.2811,2799,25.6,48,28,345.958333333333
"10",11.4084,8.7104,2829,49.8,39.9,34,337.958333333333
"11",11.7252,5.1714,1592,26.8,48,30.9,334.958333333333
"12",12.4596,5.1182,1530,26.9,48,28.9,332.958333333333
"13",10.7064,5.7722,1941,61.7,37.9,30,331.958333333333
"14",10.9944,13.1676,4491,77.1,33.8,30.2,330.958333333333
"15",11.1312,5.7052,1850,48.1,52,50,323.958333333333
"16",11.8476,4.956,1512,0,63,46.9,322.958333333333
"17",12.1212,4.8959,1454,13.7,54,30.9,320.958333333333
"18",12.0204,5.1149,1584,0,54,41,305.958333333333
"19",11.2104,4.9318,1639,0,48,34,301.958333333333
"20",11.5056,5.0056,1610,0,54,48.9,293.958333333333
"21",10.422,5.1409,1787,26.4,33.1,19,281.958333333333
"22",11.8332,3.3164,1012,20.6,39,30.9,266.958333333333
"23",10.9728,8.2331,3574,84.3,53.1,30,239.958333333333
"24",11.6496,2.3267,720,0,61,44.1,232.958333333333
"25",10.9656,4.8394,1595,0,61,51.1,230
"26",11.4552,5.1225,1705,16.4,39.9,21.9,226
"27",11.2068,8.7173,3334,82.1,54,30,216
"28",11.5416,5.6431,2417,50.6,52,30,209
"29",10.314,9.15,3248,51.8,48.9,19.9,206
"30",10.6776,8.9222,3432,52.4,52,37,201
"31",11.6244,8.9921,3290,49.6,70,39,196
"32",12.0204,8.8697,3002,51.8,60.1,57.9,193
"33",10.7748,9.1609,3095,53.9,72,50,192
"34",11.196,8.1213,3488,51.4,75.9,59,189
"35",10.944,8.3756,3492,37.1,77,63,187
"36",11.6928,8.7989,3100,52.9,63,53.1,185
"37",11.3112,9.4517,3077,52.9,53.6,48.2,181
"38",11.4156,9.2836,2946,52.3,57,36,180
"39",10.7892,4.6034,1573,0,60.1,53.1,159
"40",10.4508,11.6906,4050,0,70,54,155
"41",10.9836,4.3754,3018,0,69.1,55,154
"42",11.4516,11.7395,3730,0,62.1,59,149
"43",11.1492,7.0744,2298,0,60.1,55,139
"44",10.4868,6.7553,2862,0,72,62.1,132
"45",10.6704,7.0061,2396,0,66.9,61,127
"46",11.0664,8.2518,3438,37.1,66,62.1,120
"47",11.2212,8.4681,3750,52.1,73,70,119
"48",11.826,8.8391,3155,52.4,73.9,70,117
"49",11.5344,8.5382,3653,50.9,90,72,115
"50",9.414,9.3292,4219,52.2,82,71.1,113
"51",11.7648,8.952,3601,52.2,79,73,111
"52",10.926,9.0607,4206,65.5,80.1,75.9,102
"53",11.8944,8.7956,3652,49.6,70,68,93
"54",11.97,8.1674,3190,51,73,70,91
"55",12.1536,8.3783,4880,51.7,72,69.1,89
"56",12.2868,8.3414,3162,52,78.1,75,86
"57",11.88,9.137,2821,52.2,73,64.9,84
"58",11.9412,8.412,3848,52.8,73,68,83
"59",12.1896,8.3386,3970,50.7,91.9,69.1,82
"60",11.916,16.194,5456,96.2,75.9,73.9,79
"61",11.3868,16.2876,7090,106.5,73,70,76
"62",12.096,8.4494,3911,52.1,73,69.1,74
"63",12.2364,7.9089,3246,43.6,57.9,55.9,70
"64",12.3444,8.6365,3105,51.2,77,69.1,69
"65",12.2328,8.0468,3416,54.4,91,71.1,67
"66",12.2796,8.9502,3616,54.1,88,71.1,65
"67",11.7684,7.5165,4122,41.2,69.1,66.9,61
"68",11.6964,8.1734,3698,63.1,78.1,70,53
"69",11.9052,8.4472,3087,44.1,71.1,66.9,51
"70",12.0744,8.8605,3007,54.1,75,51.1,50
"71",11.9736,7.0079,3565,43.5,88,66,48
"72",11.97,8.9314,2860,54.3,66,63,43
"73",12.1392,8.7774,2975,54.5,61,57.9,42
"74",11.7936,8.1845,3511,54.4,64,62.1,38
"75",11.898,8.5215,3079,54.9,70,66.9,36
"76",12.438,8.5743,3030,53.1,75,35.1,35
"77",12.2832,8.4242,3139,54.2,64.4,53.6,32
"78",12.1176,8.3688,3057,50.6,64.9,59,29
"79",12.6792,5.008,1481,26.9,72,59,28
"80",12.7944,4.972,1485,26.6,69.1,59,27
"81",12.7296,4.9215,1437,26.7,82.9,62.1,26
"82",13.14,8.8475,2942,54.8,73,59,25
"83",12.9888,4.9976,1473,44.2,51.1,46,23
"84",13.0212,8.8861,2632,54.3,73,46.9,21
"85",13.3092,4.9908,1452,48.1,66,52,20
"86",13.2012,9.1626,2536,53.8,53.1,43,18
"87",13.2948,5.0488,1459,49.9,60.1,55,17
"88",13.4028,5.048,1385,49,80.1,61,16
"89",13.2264,4.9164,1393,49.1,73.9,64,14
"90",12.9636,10.6309,3842,72.3,88,62.1,14
"91",12.9816,10.3964,2957,71,64.9,59,12
"92",13.1184,4.9848,1395,49.4,57.9,55,11
"93",13.5936,10.3014,2794,62.8,44.1,41,10
"94",12.4668,17.3878,6332,102.9,64,55,8
"95",12.834,8.8365,2823,51.4,68,44.1,6
"96",12.8628,10.7155,3014,62.9,66,60.1,5
"97",13.8384,4.997,1300,48.6,55,46,4
"98",12.7152,10.6536,3143,64.1,71.1,57.9,3
"99",13.3812,5.1225,1458,52.9,75,50,2
"100",12.7764,21.2889,6011,107.1,64,70,1
