"","achievement_count","athlete_count","athlete.id","athlete.resource_state","average_speed","comment_count","commute","distance","elapsed_time","elev_high","elev_low","end_latlng1","end_latlng2","external_id","flagged","gear_id","has_heartrate","has_kudoed","id","kudos_count","location_city","location_country","location_state","manual","map.id","map.resource_state","map.summary_polyline","max_speed","moving_time","name","photo_count","private","resource_state","start_date","start_date_local","start_latitude","start_latlng1","start_latlng2","start_longitude","timezone","total_elevation_gain","total_photo_count","trainer","type","upload_id","workout_type","hum"
"1",2,1,"11307443",1,12.7152,0,"FALSE",10.6536,3143,176.3,138.7,38.65,-90.3,"61E36702-0FA2-4FE9-84CB-AF4472291EEF","FALSE","g1762053","FALSE","FALSE","758775212",1,"Saint Louis","United States","Missouri","FALSE","a758775212",2,"kh{jFbycfPjn@jNh`@bDfBeA}@cUnBaB[yBvAwDpAsSg@gE~AcAv@{SsBwUn@yDoByKPaFxBmBqCqODuNzAyQ|JrChAuAe@gRiAgCoHeB}FtCmJb@yI{EiLrCiDoAaFpI}@tNsFhB}G~P{@rNfCjNy@lG}HfIsGn}Afi@`Ng_@mI",18,3016,"Evening Run",0,"FALSE",2,"2016-10-28T23:24:34Z","2016-10-28T18:24:34Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",64.1,0,"FALSE","Run","838653651","0",0
"2",7,2,"11307443",1,13.8384,1,"FALSE",4.997,1300,175.8,146.3,38.65,-90.3,"5636E23A-4189-47E7-B522-9ACE8E847236","FALSE","g1762053","FALSE","FALSE","757922152",1,"Saint Louis","United States","Missouri","FALSE","a757922152",2,"oh{jFxxcfPph@fMjf@hEnBeCgA{RnBcBz@{Hx@gZ@vL}BfWyBzA|A`Oc@nDsAz@qe@mE_h@{K",18.36,1300,"Evening Run",0,"FALSE",2,"2016-10-27T23:03:53Z","2016-10-27T18:03:53Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",48.6,0,"FALSE","Run","837649512","0",0
"3",10,1,"11307443",1,12.8628,0,"FALSE",10.7155,3014,175.7,138.7,38.65,-90.3,"B3978A5A-0F27-4E60-93BA-09D3543D4A88","FALSE","g1762053","FALSE","FALSE","756994044",0,"Saint Louis","United States","Missouri","FALSE","a756994044",2,"_g{jF|ycfPnq@nNrZbC`CsAs@aU|BcBg@yBvByIr@gNg@oExAw@x@qP}AsJRuSiBuJJsF|BkBqCcOXaOhAeRfM`BuAuV}HaC{R~DcL{EyIlCiDsAoE`HkAhPkG|BmGbRu@fM~BdNq@hGcI`JiGz|Ali@~Msg@{K",18.36,2999,"Evening Run",0,"FALSE",2,"2016-10-26T23:01:30Z","2016-10-26T18:01:30Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",62.9,0,"FALSE","Run","836560669","0",0
"4",2,1,"11307443",1,12.834,0,"FALSE",8.8365,2823,175.5,138.6,38.65,-90.3,"B724B8BB-E593-4600-961E-86E0A4A5E0C3","FALSE","g1762053","FALSE","FALSE","755614743",1,"Saint Louis","United States","Missouri","FALSE","a755614743",2,"yg{jFpycfPvFe_B|HgIl@eG}BaOt@mL~FgQrGmCdA{OxEoHjDpAzIqC`LxEfJc@pG{CrHjBhBdN[lH{LyAw@zJg@fTbCtOeAd]h@pOpA|Ds@`ReB|Bh@tEu@zM{A~MkBtAz@rT}BxA{a@{Dgk@aM",18.36,2479,"Lunch Run",0,"FALSE",2,"2016-10-25T16:03:53Z","2016-10-25T11:03:53Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",51.4,0,"FALSE","Run","835007490","0",0
"5",10,1,"11307443",1,12.4668,2,"FALSE",17.3878,6332,176,139,38.65,-90.3,"CB989275-4458-47D8-B54E-F1F3D04870B6","FALSE","g1762053","FALSE","FALSE","754093784",1,"Saint Louis","United States","Missouri","FALSE","a754093784",2,"kh{jFfxcfPnG_}A|H_Jn@iGcCuNv@mM`H{QnFyAlAsPlFiHpCxAhLeC|HdE~SuDvG|AlAdDVdR_A|@iKaCgAlQQhOlCbOwB`BSfFhAlC@jTrBtNmA|SmAj@KpUgBnGBrEoBr@xA`Oe@vEgCdAg]{Cwm@eMoAcBvGa}A~HwIr@cG}BaNj@{MtFwOxGkDlAwOdFaI`D`B|AcBjIc@nInE`Kk@xFsCvI|D`AzOgAxE}KwAsA`]tCnRaCpBSxEpA`DX|[|ApDmAtUqA`@f@hGqCd\uBpAG~Uma@{Buc@qJ",23.04,5021,"Afternoon Run",0,"FALSE",2,"2016-10-23T20:13:08Z","2016-10-23T15:13:08Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",102.9,0,"FALSE","Run","833235301","0",0
"6",12,1,"11307443",1,13.5936,2,"FALSE",10.3014,2794,176.1,138.8,38.65,-90.3,"449AA267-1A61-473B-A41A-EB3FD761F058","FALSE","g1762053","FALSE","FALSE","751807476",1,"Saint Louis","United States","Missouri","FALSE","a751807476",2,"kh{jFdvcfPzGy}ApH_Gj@oHaCmMhAsEIyHfFaJf@yDtFaBrAgPpF{HfC|ArLeCtHlEpSwDvH|AhB`NStH_Az@}JsCs@`Iq@|WpCfOsBzA[nFfBjKeAdC~@jP`BpFiAzSqAj@f@fGw@vM_BzLoBhAvAdNa@dFcCpAq[iCmp@gN",29.16,2728,"Afternoon Run",0,"FALSE",2,"2016-10-21T22:13:04Z","2016-10-21T17:13:04Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",62.8,0,"FALSE","Run","830601110","0",0
"7",3,1,"11307443",1,13.1184,0,"FALSE",4.9848,1395,176.2,146.4,38.65,-90.3,"1B3D2455-19CC-40D0-95C8-72F4901268DC","FALSE","g1762053","FALSE","FALSE","750618284",0,"Saint Louis","United States","Missouri","FALSE","a750618284",2,"gh{jFvycfP|g@pLpf@dElB{BiAoStByAtC}d@yCbe@uBrAzApPk@fD_Bt@{f@uEef@wK",17.64,1368,"Morning Run",0,"FALSE",2,"2016-10-20T15:39:31Z","2016-10-20T10:39:31Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",49.4,0,"FALSE","Run","829226751","0",0
"8",7,1,"11307443",1,12.9816,0,"FALSE",10.3964,2957,176.5,138.8,38.65,-90.3,"813C7129-BEA3-420C-9AD9-3D8A6AEE3235","FALSE","g1762053","FALSE","FALSE","749558368",1,"Saint Louis","United States","Missouri","FALSE","a749558368",2,"yg{jFbycfP~Fg_B|H_Ih@cGyB}Np@eMbGyPpGmCdAoOzFmIjCjBjLmCjHnExKa@dGsCfIjCx@nV{L}As@|Ig@hWrC`OiC`BI|EjB|KKvSzAhGm@tPgBdCd@`N}CnUiBjAxAtNk@fFe_@qAci@_Lbg@tKqf@uK",21.6,2883,"Morning Run",0,"FALSE",2,"2016-10-19T13:20:47Z","2016-10-19T08:20:47Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",71,0,"FALSE","Run","827989464",NA,0
"9",7,1,"11307443",1,12.9636,2,"FALSE",10.6309,3842,176.1,139.2,38.65,-90.3,"1048BB50-72EA-4300-909C-7504D20BD0C2","FALSE","g1762053","FALSE","FALSE","747723333",1,"Saint Louis","United States","Missouri","FALSE","a747723333",2,"of{jFnzcfPfo@xMx[hCvCcA^}EuAcOlBkAbAiHl@cZrAw@z@qR}AuHRuSoBwJZgGvByAyC}NJaOvAcRxJrCfAmASaRiAoC_IuBuNrDoMeEwH\oBhB}BeBqF`HwAnQkGxBkGrQq@bMtBxNe@zFyHpHsGp~Aps@zOcr@eN",17.64,2952,"Morning Run",0,"FALSE",2,"2016-10-17T15:46:30Z","2016-10-17T10:46:30Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",72.3,0,"FALSE","Run","825849567",NA,0
"10",4,1,"11307443",1,13.2264,0,"FALSE",4.9164,1393,176.2,146.3,38.65,-90.3,"9C7D88A2-557C-4B41-A07E-EA81AB866EA1","FALSE","g1762053","FALSE","FALSE","747200745",1,"Saint Louis","United States","Missouri","FALSE","a747200745",2,"ch{jFpycfP`d@pKjj@vFzBuDiAuRzA}@|AuM`A}Ne@_FUbV{ApMyBpAxA`Pa@lD_BdAe`@mDqm@wM",20.88,1338,"Evening Run",0,"FALSE",2,"2016-10-17T00:07:36Z","2016-10-16T19:07:36Z",38.65,38.65,-90.3,-90.3,"(GMT-06:00) America/Chicago",49.1,0,"FALSE","Run","825109864",NA,0
